,cluster,model,rmse,r2,best_params
2,2,RandomForest,1.2007,0.6815,"{'n_estimators': 200, 'max_depth': 11, 'min_samples_split': 4, 'min_samples_leaf': 1}"
3,3,LightGBM,0.9648,0.6355,"{'n_estimators': 700, 'max_depth': 3, 'learning_rate': 0.006982366678409321, 'min_child_samples': 30}"
1,1,GradientBoosting,0.915,0.6339,"{'n_estimators': 800, 'max_depth': 11, 'learning_rate': 0.05306679565085149, 'min_samples_split': 18, 'min_samples_leaf': 15}"
0,0,LightGBM,1.1665,0.6136,"{'n_estimators': 400, 'max_depth': 4, 'learning_rate': 0.012649408672812817, 'min_child_samples': 5}"
5,5,RandomForest,1.037,0.5836,"{'n_estimators': 100, 'max_depth': 15, 'min_samples_split': 20, 'min_samples_leaf': 5}"
4,4,LightGBM,1.5643,0.4991,"{'n_estimators': 200, 'max_depth': 12, 'learning_rate': 0.027951896020448216, 'min_child_samples': 40}"
6,6,RandomForest,1.3646,0.4577,"{'n_estimators': 100, 'max_depth': 12, 'min_samples_split': 2, 'min_samples_leaf': 3}"
7,7,XGBoost,1.4691,0.4042,"{'max_depth': 12, 'learning_rate': 0.014876162688604115, 'n_estimators': 394, 'subsample': 0.905607772617333, 'colsample_bytree': 0.7152345392244377, 'min_child_weight': 3}"
8,8,LightGBM,1.4092,0.3589,"{'n_estimators': 200, 'max_depth': 7, 'learning_rate': 0.08158234029044319, 'min_child_samples': 25}"
9,9,RandomForest,1.8188,0.2729,"{'n_estimators': 100, 'max_depth': 15, 'min_samples_split': 6, 'min_samples_leaf': 1}"
